method,path,group,title,file,source,score,id
GET,/ns-api/v2/domains/{domain}/users/{user}/contacts/contact/id,domains,reference_get_domains-domain-users-user-contacts-contact-id_34ea988e36c9cc20,reference_get_domains-domain-users-user-contacts-contact-id_34ea988e36c9cc20.md,filename,69,95f48f43d4fb983f
GET,/ns-api/v2/domains/{domain}/users/{user}/meetings/count,domains,reference_get_domains-domain-users-user-meetings-count_7ea9a08845c1af0d,reference_get_domains-domain-users-user-meetings-count_7ea9a08845c1af0d.md,filename,67,2efd18cf0f4a08b8
GET,/ns-api/v2/domains/{domain}/users/{user}/number/filters,numbers,reference_get_domains-domain-users-user-number-filters_3f2200f19271b212,reference_get_domains-domain-users-user-number-filters_3f2200f19271b212.md,filename,67,54fd904a0f217faa
POST,/ns-api/v2/domains/{domain}/users/{user}/meetings/id,domains,reference_post_domains-domain-users-user-meetings-id_5827ab0bdb248683,reference_post_domains-domain-users-user-meetings-id_5827ab0bdb248683.md,filename,67,a9ef8f5e473c0b03
POST,/ns-api/v2/domains/{domain}/users/{user}/meetings,domains,reference_post_domains-domain-users-user-meetings_9af5279308aa19fd,reference_post_domains-domain-users-user-meetings_9af5279308aa19fd.md,filename,66,31b2bf057575d905
GET,/ns-api/v2/domains/{domain}/users/{user}/video,domains,reference_get_domains-domain-users-user-video_5872d0022eaacf6a,reference_get_domains-domain-users-user-video_5872d0022eaacf6a.md,filename,65,b3e032d9f8b0146f
POST,/ns-api/v2/domains/{domain}/users/{user}/timeframes/id/1,domains,Create Additional Holidays within Holiday Timeframe,reference_post_domains-domain-users-user-timeframes-id-1_0e8b5608a75d55f5.html,filename,62,33f0fdbea48f5adf
POST,/ns-api/v2/domains/{domain}/users/{user}/timeframes/id/2,domains,Create Additional Entries within Custom Timeframe,reference_post_domains-domain-users-user-timeframes-id-2_1dd234ff3b656782.md,filename,62,060687b0447b91e9
PUT,/ns-api/v2/domains/{domain}/users/{user}/timeframes/id,domains,Replace All Date Ranges in Specific Dates Timeframe,reference_put_domains-domain-users-user-timeframes-id_194fb8ed67570880.md,filename,62,7e005e9075e75897
PUT,/ns-api/v2/domains/{domain}/users/{user}/answerrules/reorder,domains,Reorder Answerrules for my User,reference_put_domains-domain-users-user-answerrules-reorder_ad468eaddcf0bad9.html,filename,57,5fbb349739695d63
