title,url,headings_count,code_blocks_count,word_count,saved_html,saved_markdown,saved_json
API Keys,https://docs.ns-api.com/docs/api-keys,13,1,764,docs_api-keys_48e90b1ef991ea84.html,docs_api-keys_48e90b1ef991ea84.md,docs_api-keys_48e90b1ef991ea84.json
Add Agent to Call Queue,https://docs.ns-api.com/reference/createagent,3,1,2339,reference_createagent_da0e2d5df268d955.html,reference_createagent_da0e2d5df268d955.md,reference_createagent_da0e2d5df268d955.json
Agent Set Offline Status,https://docs.ns-api.com/reference/agentstatus,3,1,2337,reference_agentstatus_75f63e45d398542a.html,reference_agentstatus_75f63e45d398542a.md,reference_agentstatus_75f63e45d398542a.json
Application Mapping in Phonenumber's  & Dialrule's,https://docs.ns-api.com/docs/application-mapping-in-phonenumbers-dialrules,6,0,1009,docs_application-mapping-in-phonenumbers-dialrules_266572810fcf73e8.html,docs_application-mapping-in-phonenumbers-dialrules_266572810fcf73e8.md,docs_application-mapping-in-phonenumbers-dialrules_266572810fcf73e8.json
Async (202) vs. Sync (200),https://docs.ns-api.com/docs/async-202-vs-sync-200,5,0,301,docs_async-202-vs-sync-200_1ac98205a4e244d3.html,docs_async-202-vs-sync-200_1ac98205a4e244d3.md,docs_async-202-vs-sync-200_1ac98205a4e244d3.json
Authentication Overview,https://docs.ns-api.com/docs/getting-started,4,0,270,docs_getting-started_62259beba3990074.html,docs_getting-started_62259beba3990074.md,docs_getting-started_62259beba3990074.json
Count CDRs and SUM minutes,https://docs.ns-api.com/reference/get_cdrs-count,3,1,2335,reference_get_cdrs-count_e1b7fd87718f34e8.html,reference_get_cdrs-count_e1b7fd87718f34e8.md,reference_get_cdrs-count_e1b7fd87718f34e8.json
Count CDRs and SUM minutes for Domain,https://docs.ns-api.com/reference/get_domains-domain-cdrs-count,3,1,2343,reference_get_domains-domain-cdrs-count_41d2bf0746583480.html,reference_get_domains-domain-cdrs-count_41d2bf0746583480.md,reference_get_domains-domain-cdrs-count_41d2bf0746583480.json
Count Devices for User,https://docs.ns-api.com/reference/countdevices,3,1,2336,reference_countdevices_da6718e6aa73ba62.html,reference_countdevices_da6718e6aa73ba62.md,reference_countdevices_da6718e6aa73ba62.json
Count Domains Meetings,https://docs.ns-api.com/reference/get_domains-domain-users-user-meetings-count,3,1,2333,reference_get_domains-domain-users-user-meetings-count_7ea9a08845c1af0d.html,reference_get_domains-domain-users-user-meetings-count_7ea9a08845c1af0d.md,reference_get_domains-domain-users-user-meetings-count_7ea9a08845c1af0d.json
Create Additional Date Ranges within Specific Dates Timeframe,https://docs.ns-api.com/reference/post_domains-domain-timeframes-id,3,1,2377,reference_post_domains-domain-timeframes-id_49b3dc50201438cf.html,reference_post_domains-domain-timeframes-id_49b3dc50201438cf.md,reference_post_domains-domain-timeframes-id_49b3dc50201438cf.json
Create Additional Entries within Custom Timeframe,https://docs.ns-api.com/reference/post_domains-domain-users-user-timeframes-id-2,3,1,2371,reference_post_domains-domain-users-user-timeframes-id-2_1dd234ff3b656782.html,reference_post_domains-domain-users-user-timeframes-id-2_1dd234ff3b656782.md,reference_post_domains-domain-users-user-timeframes-id-2_1dd234ff3b656782.json
Create Additional Holidays within Holiday Timeframe,https://docs.ns-api.com/reference/post_domains-domain-timeframes-id-1,3,1,2369,reference_post_domains-domain-timeframes-id-1_11dbf9761a462050.html,reference_post_domains-domain-timeframes-id-1_11dbf9761a462050.md,reference_post_domains-domain-timeframes-id-1_11dbf9761a462050.json
Create Additional Holidays within Holiday Timeframe,https://docs.ns-api.com/reference/post_domains-domain-users-user-timeframes-id-1,3,1,2371,reference_post_domains-domain-users-user-timeframes-id-1_0e8b5608a75d55f5.html,reference_post_domains-domain-users-user-timeframes-id-1_0e8b5608a75d55f5.md,reference_post_domains-domain-users-user-timeframes-id-1_0e8b5608a75d55f5.json
Create Address Endpoint,https://docs.ns-api.com/reference/createaddressendpoint,3,1,2331,reference_createaddressendpoint_8cf9cd883d35541a.html,reference_createaddressendpoint_8cf9cd883d35541a.md,reference_createaddressendpoint_8cf9cd883d35541a.json
Create Address for User,https://docs.ns-api.com/reference/createaddressforuser,3,1,2336,reference_createaddressforuser_c63cc2f6bc27130e.html,reference_createaddressforuser_c63cc2f6bc27130e.md,reference_createaddressforuser_c63cc2f6bc27130e.json
Create Device for User,https://docs.ns-api.com/reference/createdevice,3,1,2336,reference_createdevice_cc95aaba7662117d.html,reference_createdevice_cc95aaba7662117d.md,reference_createdevice_cc95aaba7662117d.json
Create SMS Number,https://docs.ns-api.com/reference/createsmsnumber,3,1,2331,reference_createsmsnumber_3dab8c6e61169bb3.html,reference_createsmsnumber_3dab8c6e61169bb3.md,reference_createsmsnumber_3dab8c6e61169bb3.json
Create Template from Upload (JSON + Base64 File),https://docs.ns-api.com/reference/createtemplatebase64,3,1,2349,reference_createtemplatebase64_65e406b438bce301.html,reference_createtemplatebase64_65e406b438bce301.md,reference_createtemplatebase64_65e406b438bce301.json
Create a Connection,https://docs.ns-api.com/reference/createconnection,3,1,2329,reference_createconnection_5c55037e74d5152a.html,reference_createconnection_5c55037e74d5152a.md,reference_createconnection_5c55037e74d5152a.json
Create a Domain,https://docs.ns-api.com/reference/createdomain,3,1,2392,reference_createdomain_13485403eab19157.html,reference_createdomain_13485403eab19157.md,reference_createdomain_13485403eab19157.json
Create a Meeting,https://docs.ns-api.com/reference/post_domains-domain-users-user-meetings,3,1,2338,reference_post_domains-domain-users-user-meetings_9af5279308aa19fd.html,reference_post_domains-domain-users-user-meetings_9af5279308aa19fd.md,reference_post_domains-domain-users-user-meetings_9af5279308aa19fd.json
Create a Meeting with Id,https://docs.ns-api.com/reference/post_domains-domain-users-user-meetings-id,3,1,2350,reference_post_domains-domain-users-user-meetings-id_5827ab0bdb248683.html,reference_post_domains-domain-users-user-meetings-id_5827ab0bdb248683.md,reference_post_domains-domain-users-user-meetings-id_5827ab0bdb248683.json
Create a new Greeting from Upload (Multipart/Mixed Post),https://docs.ns-api.com/reference/creategreetingfileupload,3,1,2366,reference_creategreetingfileupload_a617c530fff3f328.html,reference_creategreetingfileupload_a617c530fff3f328.md,reference_creategreetingfileupload_a617c530fff3f328.json
Create a new MOH for Domain from TTS,https://docs.ns-api.com/reference/createmohusertts,3,1,2348,reference_createmohusertts_ca20ff97b6314ec3.html,reference_createmohusertts_ca20ff97b6314ec3.md,reference_createmohusertts_ca20ff97b6314ec3.json
Create a new MOH for User from Upload (JSON + Base64 File),https://docs.ns-api.com/reference/createmohuserbase64,3,1,2378,reference_createmohuserbase64_f8ac8d8aa826534d.html,reference_createmohuserbase64_f8ac8d8aa826534d.md,reference_createmohuserbase64_f8ac8d8aa826534d.json
Delete A Specific Route,https://docs.ns-api.com/reference/deleteroute,3,1,2332,reference_deleteroute_3a7047d3d8bf4afe.html,reference_deleteroute_3a7047d3d8bf4afe.md,reference_deleteroute_3a7047d3d8bf4afe.json
Delete A Specific Route connection,https://docs.ns-api.com/reference/deleteroutecon,3,1,2335,reference_deleteroutecon_5c8f210f21b6f266.html,reference_deleteroutecon_5c8f210f21b6f266.md,reference_deleteroutecon_5c8f210f21b6f266.json
Delete Address Endpoint,https://docs.ns-api.com/reference/deleteaddressendpoint,3,1,2332,reference_deleteaddressendpoint_03fd178493be9089.html,reference_deleteaddressendpoint_03fd178493be9089.md,reference_deleteaddressendpoint_03fd178493be9089.json
Delete Address For Domain,https://docs.ns-api.com/reference/deleteaddressfordomain,3,1,2335,reference_deleteaddressfordomain_c5668f60496aa999.html,reference_deleteaddressfordomain_c5668f60496aa999.md,reference_deleteaddressfordomain_c5668f60496aa999.json
Delete Entry within Custom Timeframe,https://docs.ns-api.com/reference/delete_domains-domain-timeframes-id-2,3,1,2366,reference_delete_domains-domain-timeframes-id-2_374b5c73308eec81.html,reference_delete_domains-domain-timeframes-id-2_374b5c73308eec81.md,reference_delete_domains-domain-timeframes-id-2_374b5c73308eec81.json
Delete Messagesession,https://docs.ns-api.com/reference/deletemessagesession,3,1,2331,reference_deletemessagesession_f6be86b23e450068.html,reference_deletemessagesession_f6be86b23e450068.md,reference_deletemessagesession_f6be86b23e450068.json
Delete Specific Timeframe for Domain (Shared),https://docs.ns-api.com/reference/delete_domains-domain-timeframes-id-3,3,1,2366,reference_delete_domains-domain-timeframes-id-3_925b77f0b5b1bce0.html,reference_delete_domains-domain-timeframes-id-3_925b77f0b5b1bce0.md,reference_delete_domains-domain-timeframes-id-3_925b77f0b5b1bce0.json
Delete an Image,https://docs.ns-api.com/reference/deleteimage,3,1,2334,reference_deleteimage_cac643178a3aaaae.html,reference_deleteimage_cac643178a3aaaae.md,reference_deleteimage_cac643178a3aaaae.json
Get Access Token From Refresh,https://docs.ns-api.com/reference/post_tokens-1,3,1,2350,reference_post_tokens-1_f75dde34e0f819f9.html,reference_post_tokens-1_f75dde34e0f819f9.md,reference_post_tokens-1_f75dde34e0f819f9.json
Get Addresses for Domain,https://docs.ns-api.com/reference/getaddressesfordomain,3,1,2334,reference_getaddressesfordomain_558e8248b91ec607.html,reference_getaddressesfordomain_558e8248b91ec607.md,reference_getaddressesfordomain_558e8248b91ec607.json
Get CSV of call trace For Call,https://docs.ns-api.com/reference/getcalltrace,3,1,2341,reference_getcalltrace_3af394ad9f08b46c.html,reference_getcalltrace_3af394ad9f08b46c.md,reference_getcalltrace_3af394ad9f08b46c.json
Get Domains,https://docs.ns-api.com/reference/getdomains,3,1,2354,reference_getdomains_9a7a8fdd6abe5240.html,reference_getdomains_9a7a8fdd6abe5240.md,reference_getdomains_9a7a8fdd6abe5240.json
